Marca temporal;  ¿Cuál es su edad?  ;¿Con qué género se identifica usted?  ;  ¿En qué comuna reside actualmente?  ;  Alojamiento y estadía  ;Responda esta pregunta solo si en la anterior seleccionó “Sí”.  ;¿Qué tipo de alojamiento utilizó?  ;Transporte: $  ;Alojamiento: $  ;Alimentación: $  ;Compras (vino, recuerdos, artesanías): $  ;Seguridad ;Limpieza  ;Comodidad  ;Programación artística  ;Acceso a baños  ;"¿Estás de acuerdo con la afirmación: ""La Vendimia refuerza la identidad cultural de San Fernando""? "
05-02-2025 21:26;27;;Chimbarongo;No;0;Casa de amigos o familiares;5000;0;25000;5000;3;5;5;5;4;5
05-02-2025 21:26;24;;Chimbarongo ;No;0;Casa de amigos o familiares;5000;0;30000;0;5;5;5;5;4;5
05-02-2025 21:26;18;;San Fernando;No;0;Casa propia ;0;0;5000;0;5;5;5;5;5;5
05-02-2025 21:30;27;;Pinto;Sí;3;Casa de amigos o familiares;12000;0;15000;30000;5;5;5;2;4;5
05-02-2025 21:33;49;;San Fernando;No;0;Casa propia ;5000;0;40000;0;5;5;5;4;1;5
05-02-2025 21:35;28;;San Fernando;No;0;Casa de amigos o familiares;0;0;15000;5000;4;5;1;3;4;5
05-02-2025 21:37;30;;Talca;Sí;2,77;Casa de amigos o familiares;25000;0;10000;25000;5;5;5;4;1;5
05-02-2025 21:39;50;;San Fernando;No;0;Casa propia ;0;0;50000;30000;5;5;5;2;1;5
05-02-2025 21:42;52;;San Fernando;No;0;Casas propia ;2000;0;35000;15000;5;5;5;1;2;5
05-02-2025 21:43;44;;San Fernando;No;0;Casa de amigos o familiares;3000;0;5000;13000;5;5;5;5;4;5
05-02-2025 21:45;24;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;20000;5;5;5;3;2;5
05-03-2025 14:33;44;;San Fernando;No;0;Casa propia ;2000;0;15000;25000;4;4;4;4;3;5
05-03-2025 14:35;39;;San Fernando;No;0;Casa propia ;0;0;25000;25000;5;5;5;4;2;5
05-03-2025 14:37;42;;San Fernando;No;0;Casa propia ;0;0;30000;30000;5;5;5;1;1;5
05-03-2025 14:40;35;;San Fernando;No;0;Casa propia ;0;0;10000;10000;4;5;5;2;1;5
05-03-2025 14:42;55;;San vicente;No;0;Viaje ;10000;0;50000;15000;5;5;3;4;3;5
05-03-2025 14:44;18;;San Fernando;No;0;Casa de amigos o familiares;2000;0;10000;35000;5;5;5;3;1;5
05-03-2025 14:47;55;;Marchigue;No;0;Viaje;5000;0;20000;20000;5;5;4;3;2;5
05-03-2025 14:49;63;;Santiago ;No;0;Viaje ;10000;0;20000;20000;5;5;5;4;2;5
05-03-2025 14:51;39;;Santiago ;No;0;Viaje ;10000;0;40000;20000;5;5;5;5;5;5
05-03-2025 14:54;33;;San Fernando;No;0;Viaje ;0;0;20000;15000;5;4;4;4;1;5
05-03-2025 14:56;41;;San Fernando;No;0;Casa propia ;0;0;10000;20000;5;5;3;4;3;5
05-03-2025 14:59;33;;Rancagua ;No;0;Viaje ;15000;0;20000;20000;5;5;5;3;3;5
05-03-2025 15:01;33;;Rancagua ;No;0;Viaje ;20000;0;40000;20000;5;5;5;3;4;5
05-03-2025 15:06;29;;La Florida;No;0;Viaje;20000;0;40000;20000;5;5;4;5;4;5
05-03-2025 15:08;38;;San Bernardo;No;0;Casa de amigos o familiares;10000;0;40000;20000;5;5;5;4;2;5
05-03-2025 15:10;35;;San Fernando;No;0;Viaje ;2000;0;50000;40000;5;3;5;5;2;5
05-03-2025 15:13;42;;Curico;No;0;Viaje ;20000;0;60000;10000;5;5;4;2;2;5
05-03-2025 15:15;37;;San Fernando;No;0;Casa propia ;1000;0;50000;50000;5;5;5;3;3;5
05-03-2025 15:18;74;;Maipu;Sí;2,77;Casa de amigos o familiares;25000;0;75000;250000;5;3;4;4;4;5
05-03-2025 15:22;51;;Estación central;Sí;3;Casa de amigos o familiares;40000;0;100000;100000;5;5;3;5;3;5
05-03-2025 15:25;27;;Peñaloren;Sí;3;Casa de amigos o familiares;20000;0;20000;15000;5;5;4;2;2;5
05-03-2025 15:27;30;;San Fernando;No;0;Casa propia ;0;0;25000;20000;4;5;5;2;4;5
05-03-2025 15:30;35;;Rancagua ;No;0;Viaje;40000;0;110000;45000;5;5;5;3;3;5
05-03-2025 15:33;69;;San Fernando;No;0;Viaje ;2000;0;20000;15000;5;5;4;2;1;5
05-03-2025 15:36;63;;Rancagua ;No;0;Viaje ;15000;0;30000;25000;5;5;5;3;2;5
05-03-2025 15:38;68;;Doñihue;No;0;Viaje ;10000;0;25000;15000;5;5;5;3;2;5
05-03-2025 15:42;49;;Talgante;No;0;Viaje ;25000;0;25000;20000;5;5;5;4;2;5
05-03-2025 15:46;40;;San Fernando;No;0;Casa Propia ;0;0;30000;20000;5;5;5;2;2;5
